id_price,date,close,open,max,min,volume
1,2000-01-03,22.01,22.76,23.05,21.83,15119907
2,2000-01-04,21.1,21.79,22.07,20.73,16803514
3,2000-01-05,20.11,20.26,20.67,19.97,18517059
4,2000-01-07,20.15,20.16,20.18,19.82,19591064
5,2000-01-10,20.76,21.1,21.1,20.52,12590690
6,2000-01-11,20.77,21.08,21.08,20.47,13498912
7,2000-01-12,20.29,20.53,21.03,20.28,20124341
8,2000-01-13,21.52,21.13,23.33,20.99,43444016
9,2000-01-14,22.18,21.57,22.36,21.3,42056808
10,2000-01-17,23.46,22.8,23.95,22.62,31908930
11,2000-01-18,23.33,23.9,24.45,23.28,30657259
12,2000-01-19,23.15,23.15,23.7,23.0,19709401
13,2000-01-20,22.57,23.06,23.3,22.5,20301342
14,2000-01-21,22.22,22.17,22.56,21.92,20133700
15,2000-01-24,22.1,22.18,22.65,21.88,16726793
16,2000-01-25,21.47,21.73,21.91,21.35,17779568
17,2000-01-26,22.17,21.7,22.17,21.55,22865044
18,2000-01-27,23.32,22.58,23.8,22.38,28327314
19,2000-01-28,23.2,23.59,23.77,22.84,20554215
20,2000-01-31,22.8,22.8,23.23,22.45,19015907
21,2000-02-01,23.65,22.9,23.81,22.8,22261126
22,2000-02-02,24.45,23.68,24.77,23.49,24057946
23,2000-02-03,25.4,24.64,25.48,24.48,22655785
24,2000-02-04,25.7,25.53,26.36,25.52,19651353
25,2000-02-07,25.18,25.74,26.23,25.18,18158664
26,2000-02-08,25.84,25.48,26.27,25.35,15565406
27,2000-02-09,27.02,26.01,27.9,25.99,24853541
28,2000-02-10,26.99,26.58,27.71,26.54,24748753
29,2000-02-11,28.12,27.56,28.12,27.34,18726439
30,2000-02-14,27.74,28.21,28.52,27.52,18311048
31,2000-02-15,26.63,27.64,27.74,26.59,16790699
32,2000-02-16,26.14,26.85,27.02,25.66,29516764
33,2000-02-17,25.92,26.14,26.53,25.35,14450279
34,2000-02-18,26.03,25.97,26.47,25.88,16060548
35,2000-02-21,25.33,25.35,25.69,25.11,10918951
36,2000-02-22,24.74,25.18,25.81,24.6,20321671
37,2000-02-23,24.98,24.96,25.4,24.81,23747417
38,2000-02-24,25.64,25.35,26.36,25.3,19367105
39,2000-02-25,26.21,26.01,26.3,25.85,13811357
40,2000-02-28,25.84,26.06,26.3,25.7,11816163
41,2000-02-29,26.28,26.01,26.45,25.66,14239990
42,2000-03-01,26.32,26.54,27.07,26.19,14679617
43,2000-03-02,27.73,26.54,27.73,26.34,22421689
44,2000-03-03,28.35,27.95,28.87,25.53,25218144
45,2000-03-06,28.7,28.83,29.15,28.39,15403772
46,2000-03-07,27.73,28.7,28.87,27.73,12271785
47,2000-03-08,27.13,27.16,27.73,26.69,16543886
48,2000-03-09,26.86,27.2,27.38,26.86,12560102
49,2000-03-10,26.68,27.19,27.6,26.57,12161180
50,2000-03-13,26.36,27.87,28.04,25.92,17240803
51,2000-03-14,26.54,26.36,26.8,25.93,12676246
52,2000-03-15,25.26,26.14,26.31,25.22,15056686
53,2000-03-16,24.91,25.53,25.82,24.56,22030425
54,2000-03-17,24.21,25.45,25.66,24.16,35971682
55,2000-03-20,24.66,24.65,25.55,24.6,27168632
56,2000-03-21,24.74,24.91,25.14,24.6,22063148
57,2000-03-22,24.74,25.09,25.4,24.38,23656846
58,2000-03-23,24.69,24.74,25.03,24.08,17040738
59,2000-03-24,24.56,24.87,25.0,24.35,16170130
60,2000-03-27,24.45,24.74,24.82,24.35,9518771
61,2000-03-28,24.35,24.43,24.75,24.16,16623845
62,2000-03-29,23.81,24.21,24.33,23.72,18096518
63,2000-03-30,22.98,23.59,23.68,22.94,19966057
64,2000-03-31,23.24,22.89,23.5,22.36,26374301
65,2000-04-03,22.32,22.98,23.31,22.1,25045564
66,2000-04-04,21.83,22.07,22.39,21.83,26846974
67,2000-04-05,21.33,21.65,22.1,21.13,23898666
68,2000-04-06,22.36,21.65,22.64,21.42,23257737
69,2000-04-07,23.0,22.7,23.13,22.67,22153927
70,2000-04-10,23.06,23.3,23.79,23.06,18835391
71,2000-04-11,21.96,22.45,22.89,21.92,18123908
72,2000-04-12,22.27,22.18,22.68,22.02,14858104
73,2000-04-13,22.02,21.83,22.33,21.63,17954145
74,2000-04-14,21.39,21.73,21.99,21.32,27921606
75,2000-04-17,20.95,20.51,21.39,20.25,24620113
76,2000-04-18,21.19,21.3,21.61,21.13,21552873
77,2000-04-19,21.47,21.57,21.8,21.3,16695212
78,2000-04-20,21.74,21.47,22.18,21.39,16535648
79,2000-04-25,21.51,21.43,21.79,21.34,15281966
80,2000-04-26,21.88,21.74,22.2,21.71,24399368
81,2000-04-27,21.13,21.77,22.04,21.13,16192508
82,2000-04-28,21.55,21.52,21.81,21.35,20251229
83,2000-05-02,23.54,22.71,23.67,22.05,34397965
84,2000-05-03,23.57,23.32,24.67,23.22,26226947
85,2000-05-04,23.02,23.31,23.55,22.93,16255003
86,2000-05-05,22.96,22.98,23.15,22.49,25810238
87,2000-05-08,21.43,22.01,22.23,21.29,33196499
88,2000-05-09,21.11,21.43,21.74,21.08,27292877
89,2000-05-10,20.11,21.03,21.27,19.98,33456899
90,2000-05-11,20.58,19.8,20.67,19.52,38696591
91,2000-05-12,21.14,21.04,21.26,20.92,19512807
92,2000-05-15,20.79,21.08,21.36,20.79,11210717
93,2000-05-16,21.74,21.13,21.74,21.05,19489744
94,2000-05-17,20.49,21.74,21.74,20.45,32343708
95,2000-05-18,20.3,20.42,21.07,20.25,22267464
96,2000-05-19,19.08,20.47,20.59,18.86,32133039
97,2000-05-22,18.1,19.15,19.49,17.99,26664552
98,2000-05-23,18.0,18.57,18.86,17.83,24340670
99,2000-05-24,17.74,17.62,18.13,17.54,27112398
100,2000-05-25,18.53,18.06,18.87,17.96,31122430
101,2000-05-26,18.22,18.2,18.78,18.01,28154843
102,2000-05-29,19.06,18.35,19.14,18.35,17519960
103,2000-05-30,19.66,19.31,20.04,19.21,33872536
104,2000-05-31,19.37,20.16,20.47,19.37,32347148
105,2000-06-01,19.54,19.19,19.6,18.8,27603249
106,2000-06-02,20.45,19.8,21.03,19.66,40904093
107,2000-06-05,20.13,20.6,20.77,20.07,21482209
108,2000-06-06,20.14,20.33,20.89,20.07,30919553
109,2000-06-07,19.37,19.97,20.13,19.3,25027496
110,2000-06-08,19.98,19.67,20.5,19.37,27402310
111,2000-06-09,20.33,20.2,20.88,20.12,25146224
112,2000-06-12,20.32,20.69,20.81,20.21,13144975
113,2000-06-13,20.0,20.16,20.63,19.86,21437791
114,2000-06-14,20.33,20.21,20.77,20.1,25537019
115,2000-06-15,20.26,20.29,20.54,20.26,19112478
116,2000-06-16,19.15,20.26,20.41,19.15,47878752
117,2000-06-19,18.93,19.01,19.5,18.71,25443039
118,2000-06-20,18.84,19.21,19.39,18.82,24587647
119,2000-06-21,17.96,18.49,18.57,17.92,36841426
120,2000-06-22,18.61,18.09,18.85,18.05,41868420
121,2000-06-23,18.53,18.49,19.08,18.23,35421689
122,2000-06-26,18.09,18.32,18.82,18.06,29963647
123,2000-06-27,18.93,18.3,19.04,18.09,37746424
124,2000-06-28,19.59,19.15,19.82,19.02,31553119
125,2000-06-29,18.93,19.71,19.89,18.88,27425631
126,2000-06-30,19.81,19.35,20.26,19.15,43916749
127,2000-07-03,20.69,20.23,20.69,19.74,28611645
128,2000-07-04,21.43,20.77,21.61,20.64,38222755
129,2000-07-05,21.13,21.21,21.7,20.97,36582869
130,2000-07-06,21.13,20.74,21.4,20.49,27493703
131,2000-07-07,21.73,21.39,21.73,21.2,29445063
132,2000-07-10,21.52,21.74,21.84,21.34,17436204
133,2000-07-11,21.81,21.55,21.91,21.35,23467394
134,2000-07-12,22.06,21.9,22.56,21.86,28533602
135,2000-07-13,22.1,22.29,22.48,21.78,28596934
136,2000-07-14,22.45,21.79,22.45,21.51,43830600
137,2000-07-17,22.44,22.36,22.84,22.25,28303718
138,2000-07-18,21.4,22.23,22.32,21.39,39114594
139,2000-07-19,21.65,21.3,21.91,21.13,56562489
140,2000-07-20,21.92,21.61,22.16,21.43,86228803
141,2000-07-21,21.58,21.88,22.1,21.57,33711532
142,2000-07-24,21.2,21.44,21.85,21.17,33061208
143,2000-07-25,20.73,21.13,21.36,20.7,42013820
144,2000-07-26,20.9,20.74,21.31,20.73,24134202
145,2000-07-27,21.08,21.14,21.67,21.05,37845744
146,2000-07-28,20.33,21.08,21.1,20.23,24498289
147,2000-07-31,19.98,20.42,20.57,19.52,40960089
148,2000-08-01,20.1,20.25,20.31,19.85,34518875
149,2000-08-02,20.16,20.16,20.38,19.96,37449336
150,2000-08-03,19.37,20.11,20.16,19.35,28139270
151,2000-08-04,19.97,19.69,20.13,19.6,26229659
152,2000-08-07,19.94,20.05,20.18,19.94,12902078
153,2000-08-08,20.6,20.09,20.71,19.87,21968568
154,2000-08-09,21.12,20.6,21.6,20.6,42699078
155,2000-08-10,21.99,21.39,22.2,21.33,39594461
156,2000-08-11,21.59,21.75,21.87,21.31,25110943
157,2000-08-14,22.02,21.8,22.25,21.71,19809422
158,2000-08-15,21.79,22.14,22.26,21.79,15294956
